"","NAME","COURT","JUDICIAL POSITION","COURT ADDRESS","SIGNED DATE","EXCESS EXPENSE REIMBURSEMENT INSTANCE","EXCESS EXPENSE REIMBURSEMENT SOURCE","EXCESS EXPENSE REIMBURSEMENT AMOUNT","year"
"124","FREDERICK L. BROWN","MASS APPEALS COURT","ASSOC. JUSTICE","John Adams Courthouse","2012-05-16",NA,NA,NA,2011
"125","JUDD J. CARHART","MASS APPEALS COURT","JUDGE","John Adams Courthouse","2012-03-31",NA,NA,NA,2011
"126","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-24",NA,NA,NA,2011
"127","ANDRE A. GELINAS","MASS APPEALS COURT","ASSOC. JUSTICE, RECALL","JOHNADAMS COURTHOUSE SUITE3500 ONE PEMBERTON SQ BOSTON MA 02108","2012-05-04",NA,NA,NA,2011
"128","HON. ROBERT M. GRAHAM","MASS APPEALS COURT","ASSOC. JUSTICE","John Adams Courthouse","2012-04-27",NA,NA,NA,2011
"129","ANDREW GRAINGER","MASS APPEALS COURT","ASSOC. JUSTICE","One Pemberton Square","2012-01-10",NA,NA,NA,2011
"130","JOSEPH A. GRASSO, JR.","MASS APPEALS COURT","JUSTICE","One Pemberton Square, SUITE 3-500","2012-02-07",NA,NA,NA,2011
"131","SYDNEY HANLON","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-13",NA,NA,NA,2011
"132","SCOTT L. KATKER","MASS APPEALS COURT","ASSOC. JUSTICE","One Pemberton Square,","2012-04-11",NA,NA,NA,2011
"133","R. MARC KANTROWITZ","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-25",NA,NA,NA,2011
"134","JAMES F. MCHUGH","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-14",NA,NA,NA,2011
"135","WILLIAM J. MEADE","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109","2012-01-27",NA,NA,NA,2011
"136","PHILLIP RAPOZA","MASS APPEALS COURT","CHIEF JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109","2012-04-12",NA,NA,NA,2011
"137","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-09",NA,NA,NA,2011
"138","MITCHELL J. SIKORA, JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-10",NA,NA,NA,2011
"139","KENT B. SMITH","MASS APPEALS COURT",NA,"JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-02-10",NA,NA,NA,2011
"140","JOSEFH A. TRAINOR","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-04",NA,NA,NA,2011
"141","ROBERT J. CORDY","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-02-25",NA,NA,NA,2012
"142","FRANCIS X. SPINA","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-06-10",NA,NA,NA,2012
"143","RODERICK IRELAND","SUPREME JUDICIAL COURT","CHIEF JUSTICE","JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108","2013-04-15",NA,NA,NA,2012
