"","NAME","COURT","JUDICIAL POSITION","COURT ADDRESS","SIGNED DATE","EXCESS EXPENSE REIMBURSEMENT INSTANCE","EXCESS EXPENSE REIMBURSEMENT SOURCE","EXCESS EXPENSE REIMBURSEMENT AMOUNT","year"
"1","MARGOT BOTSFORD","SUPREME JUDICIAL COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/13/2015",NA,NA,NA,2014
"2","ROBERT CORDN","SUPREME JUDICIAL COURT","JUSTICE","ONE PEMBERTON SQUARE","MAR/24/2015",NA,NA,NA,2014
"3","ROBERT CORDN","SUPREME JUDICIAL COURT","JUSTICE","ONE PEMBERTON SQUARE","MAR/24/2015",NA,NA,NA,2014
"4","FERNANDE RV DUFFLY","SUPREME JUDICIAL COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","MAR/03/2015",NA,NA,NA,2014
"5","RALPH D. GRANT","SUPREME JUDICIAL COURT","CHIEF JUSTICE","ONE PEMBERTON SQUARE","MAR/27/2015",NA,NA,NA,2014
"6","RALPH D. GRANT","SUPREME JUDICIAL COURT","CHIEF JUSTICE","ONE PEMBERTON SQUARE","MAR/27/2015",NA,NA,NA,2014
"7","GERALDINE S. HINES","SUPREME JUDICIAL COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","MAR/27/2015",NA,NA,NA,2014
"8","RODERICK L. IRELAND","SUPREME JUDICIAL COURT","CHIEF JUSTICE","ONE PEMBERTON SQUARE","FEB/01/2015",NA,NA,NA,2014
"9","RODERICK L. IRELAND","SUPREME JUDICIAL COURT","CHIEF JUSTICE","ONE PEMBERTON SQUARE","FEB/01/2015",NA,NA,NA,2014
"10","BARBARA A. LENN","SUPREME JUDICIAL COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
"11","FRANCIS X. SPINA","SUPREME JUDICIAL COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/02/2015",NA,NA,NA,2014
"12","PETER W. AGNES JR.","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","MAR/10/2015",NA,NA,NA,2014
"13","JANICE M. BENNY","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
"14","JANICE M. BENNY","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
"15","JANICE M. BENNY","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
"16","JANICE M. BENNY","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
"17","JANICE M. BENNY","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
"18","AMY LYN BLAKE","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/04/2015",NA,NA,NA,2014
"19","FREDERICK L. BROWN","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/13/2015",NA,NA,NA,2014
"20","FREDERICK L. BROWN","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/13/2015",NA,NA,NA,2014
