,NAME,COURT,JUDICIAL POSITION,COURT ADDRESS,SIGNED DATE,"GIFTS, BEQUESTS,FAVORS OR LOANS TYPE","GIFTS, BEQUESTS,FAVORS OR LOANS DONER OR LENDER","GIFTS, BEQUESTS,FAVORS OR LOANS ESTIMATED VALUE",year
71,RALPH D. GANTS,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/11,NA,NA,NA,2009
72,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/12,GUEST AT CHARITABLE DINNER IN NEW YORK,WILLIAM PRIMPU,500,2009
73,MARGARET H. MARSHALL,SUPREME JUDICIAL COURT,CHIEF JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/9,COMMENCEMENT SPEAKER-GIFT-CHELSEA CLOCK,NEW ENGLAND OF LAW,1225,2009
74,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2010/4/13,HONORARUM,NEW YORK UNIVERSITY,1800,2009
75,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/8,2D MORTGAGE PURCHASE LOAD 11/15/06 AND RELATED PURHASE/REPAIR 7/2/07,TERRENCE B. MAGRATH,NA,2009
76,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/8,LOAN 10/13/06,LAURIE C. CHAPBELL,NA,2009
77,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/8,LOAN,HUGH SCOTT,NA,2009
78,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/8,LOAN 5/31/07 ,CAROLE RUBENSTIEN,NA,2009
79,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/8,LOAN 7/14/07,JACK W. RIZIKA,NA,2009
80,FREDERICK L. BROWN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/3,NA,NA,NA,2009
