,NAME,COURT,JUDICIAL POSITION,COURT ADDRESS,SIGNED DATE,TOTAL AMOUNT RECEIVED (IN DOLLARS),EXTRA-JUDICIAL SERVICES DATE,PLACE,EXTRA-JUDICIAL SERVICES NATURE,EXTRA-JUDICIAL SERVICES PAYOR, AMOUNT,year
125,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2011/2/14,28131.92,AUG-DEC,SUFFOLK LAW SCHOOL,TEACHING,SUFFOLK UNIV.,7500,2010
126,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2011/2/14,28131.92,MARCH 9-12,UNIV. OF MISSISSIPPI,TEACHING,UNIV. OF MISSISSIPPI,2700,2010
127,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2011/2/14,28131.92,JAN-DEC,"CONCORD, MA",WRITING SPECIALIZED TEXT,LEXIS - NEXIS,9031.92,2010
128,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2011/4/5,11400,JAN-APR,NEW ENGLAND SCHOOL OF LAW,TEACHING,NEW ENGLAND SCHOOL OF LAW,3600,2010
129,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2011/4/5,11400,JAN- DEC,BROOKLINE,ROOM RENTING,EDWARD KIM,7800,2010
130,SCOTT L. KATKER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2011/4/12,5000,JAN-MAY 2010,BOSTON COLLEGE LAW SCHOOL,TEACHING,B.C. LAW SCHOOL,5000,2010
131,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2011/3/5,1611.88,SUMMER 10,NORTHEASTERN,TEACHING,NEU,4000,2010
132,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2011/3/5,1611.88,NA,NA,ROYALTY,ARCADIA PUBLISHING,83.11,2010
133,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2011/3/5,1611.88,NA,NA,ROYALTY,WEST,1443.77,2010
134,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2011/3/5,1611.88,NA,NA,ROYALTY,ERCHURY SCHNLER,85,2010
135,BARBARA A. LENK,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2011/4/14,NA,NA,NA,NA,NA,NA,2010
136,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2011/4/13,NA,NA,NA,NA,NA,NA,2010
137,PETER J. RUBIN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/4/15,NA,NA,NA,NA,NA,NA,2010
138,"MITCHELL J. SIKORA, JR.",MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/3/30,NA,NA,NA,NA,NA,NA,2010
139,KENT B. SMITH,MASS APPEALS COURT,NA,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/2/8,11368.25,"2/1, 3/1, 10/1",LONGMEADOW,ROYALTIES,WEST-THOMSON,11368.25,2010
140,JOSEFH A. TRAINOR,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/3/14,6500,8/10-12/10,MASS. SCHOOL OF LAW,LAW COURSE,MASS. SCHOOL OF LAW,6500,2010
141,ARIANE D. VUONO,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/4/13,7500,FEB 2010-MAY2010,MT. HOLYOKE COLLEGE,ADJUNCT PROFESSOR,MT. HOLYOKE COLLEGE,7500,2010
142,GABRIELLE R. WOLOHOJIAN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2011/3/18,NA,NA,NA,NA,NA,NA,2010
143,FERNANDE R.V. DUFFLY,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,ADAMS COURTHOUSE 1 PEMBERTON SQ BOSTON MA02108,2012/1/10,NA,-,-,-,-,-,2011
144,BARBARA A. LENK,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2012/4/12,NA,NA,NA,NA,NA,NA,2011
145,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2012/4/6,47050,1/11/11-12/31/11,"BOSTON, MA",TEACHING,NEW ENGLAND LAW,45000,2011
146,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2012/4/6,47050,08/16/2011,"MEDFORD, MA",LECTURING,TUFFS UNIV.,1500,2011
147,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2012/4/6,47050,03/17/2011,WASG.D.C.,SEMINAR,UNITED WATIONS,550,2011
148,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2012/3/15,23905.12,ALL 2011,NORTHEASTERN UNIV.,LECTURER,NORTHEASTERN UNIV.,19500,2011
149,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2012/3/15,23905.12,NA,THOMSON-WEST PUBLISHING,AUTHOR,THOMSON-WERT,4405.12,2011
150,FRANCIS X. SPINA,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2012/1/22,NA,NA,NA,NA,NA,NA,2011
151,RALPH D. GANTS,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2012/4/10,NA,NA,NA,NA,NA,NA,2011
152,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,14500,SPRING 2011,SUFFOLK LAW SCHOOL,TEACHING,SUFFOLK LAW SCHOOL,5000,2011
153,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,14500,SUMMER AND FALL SEMETERS 2011,NORTHEASTERN LAW SCHOOL,TEACHING,NORTHEASTERN LAW SCHOOL,9500,2011
154,FREDERICK L. BROWN,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/5/16,NA,NA,NA,NA,NA,NA,2011
155,JUDD J. CARHART,MASS APPEALS COURT,JUDGE,John Adams Courthouse,2012/3/31,12087,YEAR 2011,UNIV. OF MASS.,ADJUNCT PROFESSOR,UNIV. OF MASS.,12087,2011
156,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/24,NA,NA,NA,NA,NA,NA,2011
157,ANDRE A. GELINAS,MASS APPEALS COURT,"ASSOC. JUSTICE, RECALL",JOHNADAMS COURTHOUSE SUITE3500 ONE PEMBERTON SQ BOSTON MA 02108,2012/5/4,20000,"$5000 / MARCH, JUNE, SPET, DEC.","BOSTON, MA",TRUSTEE,GEORGE R. WALLACE JR. CHARITABLE FOUNDATION C/O GOODWIN PROCTOR,20000,2011
158,HON. ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/27,5000,01/18/2011,BOSTON GARDEN,APPEARANCE FORMER PLAYER,BOSTON CELTICS,1000,2011
159,HON. ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/27,5000,02/15/2011,NA,NA,NA,1000,2011
160,HON. ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/27,5000,03/09/2011,NA,NA,NA,1000,2011
161,HON. ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/27,5000,04/13/2011,NA,NA,NA,2000,2011
162,ANDREW GRAINGER,MASS APPEALS COURT,ASSOC. JUSTICE,One Pemberton Square,2012/1/10,NA,NA,NA,NA,NA,NA,2011
163,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"One Pemberton Square, SUITE 3-500",2012/2/7,40403,JAN-APR,BOSTON UNIV. LAW SCHOOL,TEACHING,B.U.,8900,2011
164,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"One Pemberton Square, SUITE 3-500",2012/2/7,40403,AUG-DEC,SUFFOLK LAW SCHOOL,TEACHING,SUFFOLK UNIV.,8400,2011
165,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"One Pemberton Square, SUITE 3-500",2012/2/7,40403,JAN-DEC,"CONCORD, MA",WRITING SPECIALIZED TEXT,LEXIS - NEXIS,23103,2011
166,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/4/13,16300,"JAN-APR, AGU-DEC",NEW ENGLAND SCHOOL OF LAW,TEACHING,NEW ENGLAND SCHOOL OF LAW,7200,2011
167,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/4/13,16300,JAN- DEC,BROOKLINE,ROOM RENTING,EDWARD KIM,7800,2011
168,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/4/13,16300,NOV-DEC,BROOKLINE,ROOM RENTING,YI CHIEL LEE,1300,2011
169,SCOTT L. KATKER,MASS APPEALS COURT,ASSOC. JUSTICE,"One Pemberton Square,",2012/4/11,5000,JAN-MAY,BOSTON COLLEGE LAW SCHOOL,TEACHING,B.C.,5000,2011
170,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/25,6401.5,NA,NORTHEASTERN LAW SCHOOL,ROYALTY,THOMSON WEST,786.22,2011
171,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/25,6401.5,NA,NA,ROYALTY,ARCADIA PUB.,133.28,2011
172,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/25,6401.5,NA,NA,COLUMN,PATRIOT LEDGER,500,2011
173,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/25,6401.5,NA,NA,TEACHING,NEU,5000,2011
174,JAMES F. MCHUGH,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/14,NA,NA,NA,NA,NA,NA,2011
175,WILLIAM J. MEADE,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2012/1/27,NA,NA,NA,NA,NA,NA,2011
176,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2012/4/12,28266,8/1/2011-9/15/2011,EAST TIMOR & UNITED STATES,CONSULTANT,UN DEVELOPMENT PROGRAM,28266,2011
177,PETER J. RUBIN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/4/9,25000.02,7/1-12/31/11,HARVARD LAW SCHOOL,TEACHING,HARVARD UNIV.,25000.02,2011
178,"MITCHELL J. SIKORA, JR.",MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/4/10,NA,NA,NA,NA,NA,NA,2011
179,KENT B. SMITH,MASS APPEALS COURT,NA,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/2/10,12583.82,3/1/,LONGMEADOW,ROYALTIES,WEST-THOMSON,12583.82,2011
180,JOSEFH A. TRAINOR,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/4/4,6500,8/11-12/11,MASS. SCHOOL OF LAW,LAW COURSE,MASS. SCHOOL OF LAW,6500,2011
181,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/2/25,46500,1/1/12-12/3112,BOSTON,TEACHING,NEW EN,45000,2012
182,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/2/25,46500,07/12/2015,MEDFORD/TUFFS,LECTURERS,TUFFS UNIV.,1500,2012
183,FRANCIS X. SPINA,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/6/10,NA,NA,NA,NA,NA,NA,2012
184,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2013/4/15,26391.3,ALL 2012,NORTHEASTERN UNIV.,LECTURE,NEU,22600,2012
185,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2013/4/15,26391.3,ALL 2012,THOMSON-WEST PUBLISHING,AUTHOR,THOMSON-WEST,3791.3,2012
186,BARBARA A. LENK,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2013/4/8,NA,NA,NA,NA,NA,NA,2012
187,RALPH D. GANTS,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/3/9,NA,NA,NA,NA,NA,NA,2012
188,PETER W. AGNESS JR.,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2013/4/13,14000,JAN-MAY 12,MASS SCHOOL OF LAW,TEACHING,MASS SCHOOL OF LAW,7825,2012
189,PETER W. AGNESS JR.,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2013/4/13,14000,AUG-DEC 12,MASS SCHOOL OF LAW,TEACHING,MASS SCHOOL OF LAW,7825,2012
190,PETER W. AGNESS JR.,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2013/4/13,14000,MAY-SEPT 12,BELGRADE,SALE OF PHOTOS,ARTIST BARN,350,2012
191,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2013/4/11,15600,SPRING 2012,SUFFOLK LAW SCHOOL,TEACHING,SUFFOLK LAW SCHOOL,5600,2012
192,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2013/4/11,15600,SUMMER AND FALL SEMETERS 2012,NORTHEASTERN LAW SCHOOL,TEACHING,NORTHEASTERN LAW SCHOOL,10000,2012
193,FREDERICK L. BROWN,MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/4/4,NA,NA,NA,NA,NA,NA,2012
194,JUDD J. CARHART,MASS APPEALS COURT,NA,John Adams Courthouse,2013/3/22,12178,2012,UNIV. OF MASS.,ADJUNCT PROFESSOR,UNIV. OF MASS.,12178,2012
195,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/1/29,NA,NA,NA,NA,NA,NA,2012
196,HOU. AUDRE A. GELCUAS,MASS APPEALS COURT,ASSOC. JUSTICE (RECALL),JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2013/4/10,20000,"MAR,JUNE,SPET,DEC / $5000","BOSTON, MA",TRUSTEE,GEORGE R WALLACE JR. CHARITABLE FOUNDATION,20000,2012
197,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/4/9,5000,JAN 20 /12,"BOSTON, MA","APPEAR""CELTIC LEGEND""",BOSTON CELTICS,1000,2012
198,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/4/9,5000,FEB 12/ 12,NA,NA,NA,1000,2012
199,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/4/9,5000,MARCH 16 / 12,NA,NA,NA,1000,2012
200,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/4/9,5000,APRIL 24 / 12,NA,NA,NA,1000,2012
201,ANDREW GRAINGER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1751",2013/1/23,NA,NA,NA,NA,NA,NA,2012
202,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/2/4,22344,JAN-APR,BOSTON UNIV.,TEACHING,B.U.,8900,2012
203,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/2/4,22344,AUG-DEC,SUFFOLK LAW SCHOOL,TEACHING,SUFFOLK UNIVERSITY,8400,2012
204,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/2/4,22344,JAN-DEC,"CONCORD, MA",WRITING SPECIALIZED TEXT,LEXIS-NEXIS,5044,2012
205,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/4/10,18900,AGU-DEC,NEW ENGLAND SCHOOL OF LAW,TEACHING,NEW ENGLAND SCHOOL OF LAW,4800,2012
206,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/4/10,18900,JAN- DEC,BROOKLINE,ROOM RENTING,EDWARD KIM,7800,2012
207,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/4/10,18900,"MARCH - MAY, DEC",BROOKLINE,ROOM RENTING,YUJUN ZHANG,2800,2012
208,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/4/10,18900,JUN-OCT,BROOKLINE,ROOM RENTING,NADIA SHABBIR,3500,2012
209,SCOTT L. KATKER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/4/10,5000,JAN-MAY 2012,BOSTON COLLEGE LAS SCHOOL,TEACHING,B.C.,5000,2012
210,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/3/8,5889.13,NA,NA,TEACHING,NEU,1250.01,2012
211,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/3/8,5889.13,NA,NA,WRITING ,GATEHOUSE MEDIA,1050,2012
212,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/3/8,5889.13,NA,NA,WRITING,THOMSON REUTERS WEST,1222.88,2012
213,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/3/8,5889.13,NA,NA,WRITING,ARCADIA PUBLISHING,200.24,2012
214,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/3/8,5889.13,NA,NA,WRITING,FREEDOM TRAIL FOUNDATION,2166,2012
215,JAMES F. MCHUGH,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2013/4/5,1278.26,02/10/2012,BOSTON,TEACHING ,SUFFOLK UNIV.,639.13,2012
216,JAMES F. MCHUGH,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2013/4/5,1278.26,02/24/2012,NA,NA,NA,639.13,2012
217,WILLIAM J. MEADE,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2013/3/1,NA,NA,NA,NA,NA,NA,2012
218,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108",2013/4/1,NA,NA,NA,NA,NA,NA,2012
219,PETER J. RUBIN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2013/4/2,17500,JAN 9 /13,GEORGETOWN UNIV.,TEACHING ,GEORGETOWN UNIV.,17500,2012
220,"MITCHELL J. SIKORA, JR.",MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/25,NA,NA,NA,NA,NA,NA,2011
221,JOSEFH A. TRAINOR,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2013/4/12,13000,1/12 - 12/12,MASS SCHOOL OF LAW,LAW COURSE,MASS SCHOOL OF LAW,13000,2012
222,ROBERT J. CORDY,SUPREME JUDICIAL COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2014/4/1,50083,2013,NEW ENGLAND LAW SCHOL,TEACHING,NEW ENGLAND LAW,45000,2013
223,ROBERT J. CORDY,SUPREME JUDICIAL COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2014/4/1,50083,2013,BOSTON/SLOVENIA,ADVISOR AND SERVICED,REGIONAL ,5083,2013
224,RODERICK IRELAND,SUPREME JUDICIAL COURT,NA,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2014/4/15,24634.69,ALL 2013,NORTHEASTER UNIV.,LECTURER,NEU,20900,2013
225,RODERICK IRELAND,SUPREME JUDICIAL COURT,NA,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2014/4/15,24634.69,ALL 2013,THOMPSON-WEST PUBLSHING,AUTHOR,THOMPSON-WEST,3734.69,2013
226,BARBARA A. LENK,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2014/4/6,NA,NA,NA,NA,NA,NA,2013
227,FRANCIS X. SPINA,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2014/1/21,NA,NA,NA,NA,NA,NA,2013
228,RALPH D. GANTS,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2014/4/2,NA,NA,NA,NA,NA,NA,2013
229,PETER W. AGNESS JR.,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2014/3/17,13000,JAN-MAY 13,MASS SCHOOL OF LAW,TEACHING,MASS SCHOOL OF LAW,6500,2013
230,PETER W. AGNESS JR.,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2014/3/17,13000,AUG-DEC 13,MASS SCHOOL OF LAW,TEACHING,MASS SCHOOL OF LAW,6500,2013
231,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2014/4/14,8100,SPRING 2011,SUFFOLK LAW SCHOOL,TEACHING,SUFFOLK LAW SCHOOL,5600,2013
232,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2014/4/14,8100,FALL,NORTHEASTERN LAW SCHOOL,TEACHING,NORTHEASTERN LAW SCHOOL,2500,2013
233,FREDERICK L. BROWN,MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2014/4/7,NA,NA,NA,NA,NA,NA,2013
234,JUDD J. CARHART,MASS APPEALS COURT,NA,John Adams Courthouse,2014/3/23,13465,2013,UNIV. OF MASS.,ADJUNCT PROFESSOR,UNIV. OF MASS.,13465,2013
235,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2014/2/5,NA,NA,NA,NA,NA,NA,2013
236,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2014/4/2,1000,40139,BOSTON,APPERANCE FEE,BOSTON CELTICS,1000,2013
237,ANDREW GRAINGER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1751",2014/1/13,NA,NA,NA,NA,NA,NA,2013
238,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/2/3,24114.74,JAN-DEC,"CONCORD, MA",WRITING SPECIALIZED TEXT,LEXIS-NEXIS,15714.74,2013
